# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	min(p)	min(epsilon)	min(k)
101             	-9.77465855e+00	2.05995277e+00	1.09144463e-02
102             	-9.74258810e+00	2.03732824e+00	1.08082589e-02
103             	-9.69271154e+00	2.01957402e+00	1.06834908e-02
104             	-9.63846488e+00	2.00077043e+00	1.05775272e-02
105             	-9.60297650e+00	1.98931115e+00	1.05158199e-02
106             	-9.55038810e+00	1.97935315e+00	1.04536354e-02
107             	-9.50671723e+00	1.97163631e+00	1.04027226e-02
108             	-9.44950566e+00	1.96390671e+00	1.03378689e-02
109             	-9.41350154e+00	1.95605625e+00	1.02440426e-02
110             	-9.34507920e+00	1.93952710e+00	1.00817673e-02
111             	-9.30856186e+00	1.91842258e+00	9.90811443e-03
112             	-9.22753599e+00	1.89445678e+00	9.73752831e-03
113             	-9.16944538e+00	1.87399139e+00	9.60989755e-03
114             	-9.10700095e+00	1.85734707e+00	9.51017404e-03
115             	-9.00549395e+00	1.84404070e+00	9.41096018e-03
116             	-8.91294456e+00	1.83090803e+00	9.19058536e-03
117             	-8.81030844e+00	1.78969064e+00	8.76531280e-03
118             	-8.69596657e+00	1.73027884e+00	8.37164545e-03
119             	-8.56220569e+00	1.68130896e+00	8.14888482e-03
120             	-8.41817340e+00	1.65496115e+00	8.05467614e-03
121             	-8.26657955e+00	1.64046055e+00	7.96478959e-03
122             	-8.10712212e+00	1.62379032e+00	7.84911111e-03
123             	-7.95494663e+00	1.60748731e+00	7.75049281e-03
124             	-7.79575044e+00	1.59507283e+00	7.63744600e-03
125             	-7.62166566e+00	1.57421268e+00	7.44285718e-03
126             	-7.43955164e+00	1.54424724e+00	7.23417903e-03
127             	-7.24612097e+00	1.51590273e+00	7.07441187e-03
128             	-7.06617433e+00	1.49393311e+00	6.94371880e-03
129             	-6.88054245e+00	1.47261675e+00	6.79915533e-03
130             	-6.69131297e+00	1.45029215e+00	6.66160230e-03
131             	-6.51345310e+00	1.43203609e+00	6.53255328e-03
132             	-6.35429703e+00	1.40975596e+00	6.35682916e-03
133             	-6.18208724e+00	1.38069256e+00	6.16116751e-03
134             	-6.02756596e+00	1.35119700e+00	5.99451130e-03
135             	-5.88294724e+00	1.32655658e+00	5.87165798e-03
136             	-5.74571124e+00	1.30916085e+00	5.75303868e-03
137             	-5.62149980e+00	1.28671169e+00	5.56982926e-03
138             	-5.50742929e+00	1.25327740e+00	5.35353228e-03
139             	-5.40811650e+00	1.22020548e+00	5.17870310e-03
140             	-5.31905335e+00	1.19239071e+00	5.04208429e-03
141             	-5.24563425e+00	1.16976764e+00	4.93578910e-03
142             	-5.17675459e+00	1.15228805e+00	4.85174087e-03
143             	-5.12011234e+00	1.13803213e+00	4.77763741e-03
144             	-5.06958542e+00	1.12598793e+00	4.68613481e-03
145             	-5.02854563e+00	1.10728333e+00	4.53472105e-03
146             	-4.99234405e+00	1.07813749e+00	4.35086114e-03
147             	-4.96453711e+00	1.04751083e+00	4.19364095e-03
148             	-4.94303637e+00	1.02042598e+00	4.06703885e-03
149             	-4.92848805e+00	9.98019422e-01	3.97017855e-03
150             	-4.91867622e+00	9.80977219e-01	3.89539135e-03
151             	-4.91404763e+00	9.67361819e-01	3.83223837e-03
152             	-4.91422659e+00	9.56306592e-01	3.76597210e-03
153             	-4.91854285e+00	9.42216848e-01	3.66642545e-03
154             	-4.92690330e+00	9.21853581e-01	3.54323561e-03
155             	-4.93877877e+00	8.99564964e-01	3.42779269e-03
156             	-4.95398485e+00	8.77639028e-01	3.32250588e-03
157             	-4.97157951e+00	8.57389042e-01	3.23421214e-03
158             	-4.99197647e+00	8.40701640e-01	3.16206872e-03
159             	-5.01803823e+00	8.26670304e-01	3.10000202e-03
160             	-5.04786031e+00	8.14830481e-01	3.03752964e-03
161             	-5.08088552e+00	8.00984098e-01	2.95153342e-03
162             	-5.11435914e+00	7.82686093e-01	2.85045964e-03
163             	-5.15490138e+00	7.62487701e-01	2.75042585e-03
164             	-5.19523396e+00	7.42105507e-01	2.66067545e-03
165             	-5.24372745e+00	7.23992629e-01	2.58483642e-03
166             	-5.29739867e+00	7.07531203e-01	2.50945301e-03
167             	-5.34133767e+00	6.91194309e-01	2.43587263e-03
168             	-5.39927804e+00	6.75830353e-01	2.36663820e-03
169             	-5.46317549e+00	6.60868190e-01	2.30286248e-03
170             	-5.52382118e+00	6.47339692e-01	2.24661608e-03
171             	-5.58382105e+00	6.34475335e-01	2.18727411e-03
172             	-5.65854206e+00	6.21018429e-01	2.12756863e-03
173             	-5.73272670e+00	6.08060190e-01	2.07026838e-03
174             	-5.81935295e+00	5.93302971e-01	2.01643119e-03
175             	-5.90669372e+00	5.77874165e-01	1.96845232e-03
176             	-6.00342359e+00	5.64124254e-01	1.91825746e-03
177             	-6.10149876e+00	5.49739279e-01	1.86824482e-03
178             	-6.21903724e+00	5.35406524e-01	1.82143480e-03
179             	-6.33084777e+00	5.21991587e-01	1.77757606e-03
180             	-6.46003032e+00	5.09422433e-01	1.73492362e-03
181             	-6.59380035e+00	4.97198984e-01	1.69386922e-03
182             	-6.71472181e+00	4.85433508e-01	1.65721595e-03
183             	-6.85073252e+00	4.74929316e-01	1.62352470e-03
184             	-6.97839450e+00	4.65273988e-01	1.59128515e-03
185             	-7.09327466e+00	4.56034692e-01	1.56037185e-03
186             	-7.19447206e+00	4.47175477e-01	1.53174035e-03
187             	-7.28880091e+00	4.38970188e-01	1.50322596e-03
188             	-7.36396432e+00	4.30798457e-01	1.47453953e-03
189             	-7.42200111e+00	4.22577427e-01	1.44769275e-03
190             	-7.46273785e+00	4.14883605e-01	1.41989458e-03
191             	-7.48635686e+00	4.06917131e-01	1.39270893e-03
192             	-7.49408029e+00	3.99126195e-01	1.36701158e-03
193             	-7.48817362e+00	3.91761783e-01	1.34127577e-03
194             	-7.47171569e+00	3.84386347e-01	1.31526832e-03
195             	-7.44288659e+00	3.76933062e-01	1.29030769e-03
196             	-7.40860952e+00	3.69779779e-01	1.26744898e-03
197             	-7.36766991e+00	3.63228871e-01	1.24259144e-03
198             	-7.31571606e+00	3.56105131e-01	1.21706204e-03
199             	-7.26551531e+00	3.48788848e-01	1.19352280e-03
200             	-7.20998445e+00	3.42042909e-01	1.16824548e-03
201             	-7.15306144e+00	3.34798871e-01	1.14301122e-03
202             	-7.09818406e+00	3.27567168e-01	1.11972910e-03
203             	-7.03997156e+00	3.20894917e-01	1.09631311e-03
204             	-6.98412355e+00	3.14184302e-01	1.07434428e-03
205             	-6.93124430e+00	3.07888415e-01	1.05411845e-03
206             	-6.87935581e+00	3.02092045e-01	1.03548501e-03
207             	-6.83206614e+00	2.96752023e-01	1.01922036e-03
208             	-6.78814064e+00	2.92090857e-01	1.00192937e-03
209             	-6.74589303e+00	2.87135559e-01	9.83908443e-04
210             	-6.70754518e+00	2.81971075e-01	9.67479464e-04
211             	-6.67417505e+00	2.77262815e-01	9.50798638e-04
212             	-6.64428950e+00	2.72482380e-01	9.34869657e-04
213             	-6.61835037e+00	2.67917411e-01	9.20521385e-04
214             	-6.59674361e+00	2.63805445e-01	9.07516852e-04
215             	-6.57871885e+00	2.60078572e-01	8.95353705e-04
216             	-6.56444031e+00	2.56592825e-01	8.84336761e-04
217             	-6.55385791e+00	2.53435560e-01	8.75259081e-04
218             	-6.54660233e+00	2.50834055e-01	8.65152701e-04
219             	-6.54219430e+00	2.47937742e-01	8.54413352e-04
220             	-6.54116212e+00	2.44860031e-01	8.44906200e-04
