# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
105             	1.55168379e+01	3.64548682e+03	8.52379662e+00
106             	1.52728438e+01	3.64245347e+03	8.49799850e+00
107             	1.50041879e+01	3.63934462e+03	8.46969745e+00
108             	1.47490444e+01	3.63625021e+03	8.43858846e+00
109             	1.44466322e+01	3.63308743e+03	8.40434873e+00
110             	1.42038331e+01	3.62998509e+03	8.36693620e+00
111             	1.38890095e+01	3.62685590e+03	8.32637809e+00
112             	1.36609756e+01	3.62376230e+03	8.28364636e+00
113             	1.33712465e+01	3.62066278e+03	8.23795630e+00
114             	1.30771217e+01	3.61762866e+03	8.18930484e+00
115             	1.28570399e+01	3.61456514e+03	8.13770395e+00
116             	1.28620578e+01	3.61162286e+03	8.08316719e+00
117             	1.30285962e+01	3.60862737e+03	8.02653268e+00
118             	1.32315607e+01	3.60596973e+03	7.96739878e+00
119             	1.34712855e+01	3.60396201e+03	7.90560684e+00
120             	1.37397608e+01	3.60208492e+03	7.84124512e+00
121             	1.40328631e+01	3.60019401e+03	7.77439975e+00
122             	1.43491271e+01	3.59815207e+03	7.70521160e+00
123             	1.46850233e+01	3.59605452e+03	7.63578017e+00
124             	1.50459379e+01	3.59403188e+03	7.56522732e+00
125             	1.54289140e+01	3.59199551e+03	7.49276108e+00
126             	1.58249640e+01	3.59008620e+03	7.41921115e+00
127             	1.62336039e+01	3.58824331e+03	7.34395874e+00
128             	1.66331598e+01	3.58645918e+03	7.26704357e+00
129             	1.70375363e+01	3.58465167e+03	7.18849288e+00
130             	1.74413271e+01	3.58287305e+03	7.10961956e+00
131             	1.78309092e+01	3.58113797e+03	7.03218267e+00
132             	1.82037077e+01	3.57938317e+03	6.95342536e+00
133             	1.85745943e+01	3.57768511e+03	6.87341576e+00
134             	1.89198511e+01	3.57605128e+03	6.79224483e+00
135             	1.92481957e+01	3.57439414e+03	6.71241257e+00
136             	1.95544612e+01	3.57285770e+03	6.63342997e+00
137             	1.98388248e+01	3.57127471e+03	6.55343023e+00
138             	2.01018572e+01	3.56966952e+03	6.47246610e+00
139             	2.03408858e+01	3.56823256e+03	6.39256041e+00
140             	2.05586986e+01	3.56672636e+03	6.31439625e+00
141             	2.07547967e+01	3.56529929e+03	6.23534851e+00
142             	2.09320249e+01	3.56384582e+03	6.15543928e+00
143             	2.10857394e+01	3.56219102e+03	6.07887491e+00
144             	2.12218545e+01	3.56067183e+03	6.00199150e+00
145             	2.13373224e+01	3.55928505e+03	6.01867281e+00
146             	2.14371016e+01	3.55793902e+03	6.04322761e+00
147             	2.15186251e+01	3.55669559e+03	6.06765650e+00
148             	2.15845411e+01	3.55543194e+03	6.09143516e+00
149             	2.16341962e+01	3.55418494e+03	6.11423846e+00
150             	2.16699311e+01	3.55291435e+03	6.13695050e+00
151             	2.16915322e+01	3.55158124e+03	6.15836137e+00
152             	2.16991636e+01	3.55033842e+03	6.17923408e+00
153             	2.16922641e+01	3.54905375e+03	6.19916995e+00
154             	2.16702904e+01	3.54771299e+03	6.21776583e+00
155             	2.16331991e+01	3.54643187e+03	6.23604146e+00
156             	2.15792395e+01	3.54515139e+03	6.25280242e+00
157             	2.15114776e+01	3.54390600e+03	6.26872325e+00
158             	2.14253334e+01	3.54270344e+03	6.28354745e+00
159             	2.13228742e+01	3.54133145e+03	6.29683824e+00
160             	2.12021091e+01	3.54006894e+03	6.30958645e+00
161             	2.10663074e+01	3.53883748e+03	6.32066177e+00
162             	2.09151485e+01	3.53763852e+03	6.33079368e+00
163             	2.08576919e+01	3.53645749e+03	6.33964586e+00
164             	2.08372057e+01	3.53525109e+03	6.34696418e+00
165             	2.07857476e+01	3.53412164e+03	6.35355804e+00
166             	2.07057600e+01	3.53295474e+03	6.35824681e+00
167             	2.05976167e+01	3.53179253e+03	6.36237247e+00
168             	2.04520492e+01	3.53067016e+03	6.36475359e+00
169             	2.02686573e+01	3.52952026e+03	6.36611088e+00
170             	2.00641292e+01	3.52845835e+03	6.36612196e+00
171             	1.98614043e+01	3.52735021e+03	6.36480735e+00
172             	1.96137202e+01	3.52626328e+03	6.36241782e+00
173             	1.93420393e+01	3.52532257e+03	6.35855202e+00
174             	1.91319575e+01	3.52456001e+03	6.35376351e+00
175             	1.88810830e+01	3.52377934e+03	6.34750454e+00
176             	1.86252004e+01	3.52289986e+03	6.34035263e+00
177             	1.83457141e+01	3.52198191e+03	6.33186339e+00
178             	1.80602926e+01	3.52109089e+03	6.32235627e+00
179             	1.77653588e+01	3.52020464e+03	6.31177242e+00
180             	1.74588793e+01	3.51936731e+03	6.29997815e+00
181             	1.71243197e+01	3.51852431e+03	6.28746883e+00
182             	1.68929454e+01	3.51773336e+03	6.27352121e+00
183             	1.67118784e+01	3.51698099e+03	6.25928896e+00
184             	1.65470265e+01	3.51626768e+03	6.24392261e+00
185             	1.64031407e+01	3.51556826e+03	6.22764574e+00
186             	1.62812401e+01	3.51490566e+03	6.21105044e+00
187             	1.61772897e+01	3.51425332e+03	6.19367652e+00
188             	1.60999374e+01	3.51360427e+03	6.17563386e+00
189             	1.60474744e+01	3.51299214e+03	6.15735527e+00
190             	1.60192281e+01	3.51239054e+03	6.13890085e+00
191             	1.60147081e+01	3.51178392e+03	6.12026855e+00
192             	1.60320219e+01	3.51122322e+03	6.10158953e+00
193             	1.60686660e+01	3.51065865e+03	6.08306200e+00
194             	1.61208966e+01	3.51010043e+03	6.06486870e+00
195             	1.61889670e+01	3.50952852e+03	6.04715725e+00
196             	1.62667798e+01	3.50901901e+03	6.03008507e+00
197             	1.63529649e+01	3.50849020e+03	6.01416025e+00
198             	1.64502989e+01	3.50794227e+03	5.99941729e+00
199             	1.65482978e+01	3.50744375e+03	5.98605599e+00
200             	1.66504484e+01	3.50692730e+03	5.97430360e+00
201             	1.67533497e+01	3.50637887e+03	5.96422627e+00
202             	1.68539223e+01	3.50588601e+03	5.95561613e+00
203             	1.69545537e+01	3.50537306e+03	5.94876521e+00
204             	1.70510831e+01	3.50487916e+03	5.94309977e+00
205             	1.71421237e+01	3.50440491e+03	5.93894009e+00
206             	1.72287335e+01	3.50394009e+03	5.93585782e+00
207             	1.73082851e+01	3.50351563e+03	5.93365153e+00
208             	1.73809623e+01	3.50310398e+03	5.93240833e+00
209             	1.74475343e+01	3.50266095e+03	5.93216091e+00
210             	1.75065292e+01	3.50227563e+03	5.93247608e+00
211             	1.75571770e+01	3.50187792e+03	5.93331585e+00
212             	1.76003733e+01	3.50147827e+03	5.93460377e+00
213             	1.76357283e+01	3.50108756e+03	5.93626210e+00
214             	1.76631965e+01	3.50069736e+03	5.93821013e+00
215             	1.76834116e+01	3.50027101e+03	5.94037196e+00
216             	1.76962803e+01	3.49984232e+03	5.94268299e+00
217             	1.77024613e+01	3.49946801e+03	5.94508183e+00
218             	1.77022646e+01	3.49910698e+03	5.94750625e+00
219             	1.76963818e+01	3.49871144e+03	5.94990110e+00
220             	1.76847426e+01	3.49836153e+03	5.95226317e+00
221             	1.76686795e+01	3.49800077e+03	5.95467721e+00
222             	1.76472464e+01	3.49760499e+03	5.95697881e+00
223             	1.76215917e+01	3.49726685e+03	5.95910550e+00
224             	1.75925879e+01	3.49693009e+03	5.96103849e+00
225             	1.75602031e+01	3.49657326e+03	5.96275149e+00
226             	1.75270992e+01	3.49626779e+03	5.96422903e+00
227             	1.74892702e+01	3.49597450e+03	5.96546609e+00
228             	1.74524259e+01	3.49563946e+03	5.96662248e+00
229             	1.74111018e+01	3.49521592e+03	5.96757233e+00
230             	1.73745560e+01	3.49491278e+03	5.96824789e+00
231             	1.73296105e+01	3.49461687e+03	5.96865549e+00
232             	1.72964208e+01	3.49438813e+03	5.96877797e+00
233             	1.72500294e+01	3.49415976e+03	5.96862325e+00
234             	1.72208768e+01	3.49391659e+03	5.96819979e+00
235             	1.71735546e+01	3.49370651e+03	5.96760891e+00
236             	1.71504727e+01	3.49346952e+03	5.96689068e+00
237             	1.71039478e+01	3.49318077e+03	5.96594415e+00
238             	1.70866981e+01	3.49296168e+03	5.96477651e+00
239             	1.70443930e+01	3.49273037e+03	5.96340601e+00
240             	1.70308285e+01	3.49248416e+03	5.96182374e+00
241             	1.69952808e+01	3.49228794e+03	5.96006038e+00
242             	1.69850509e+01	3.49208593e+03	5.95813977e+00
