# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
66              	2.52430225e-02	6.76827547e-03	2.95409614e-02	1.15716438e-02	9.35724396e-03
67              	2.51214417e-02	6.77288111e-03	2.97350539e-02	1.14742637e-02	9.33446370e-03
68              	2.50536727e-02	6.77965873e-03	2.99634917e-02	1.13813341e-02	9.30426670e-03
69              	2.48764315e-02	6.78224714e-03	3.01553993e-02	1.12920744e-02	9.26647863e-03
70              	2.47457168e-02	6.78314787e-03	3.03464794e-02	1.12033178e-02	9.22655320e-03
71              	2.45545035e-02	6.78335232e-03	3.05560768e-02	1.11189717e-02	9.18067028e-03
72              	2.46144760e-02	6.78187216e-03	3.07845623e-02	1.10449800e-02	9.13110684e-03
73              	2.44182536e-02	6.77733209e-03	3.10177966e-02	1.09749025e-02	9.08054117e-03
74              	2.41697487e-02	6.76900525e-03	3.12139516e-02	1.09144587e-02	9.02960771e-03
75              	2.41944630e-02	6.76308346e-03	3.14775892e-02	1.08586873e-02	8.97983144e-03
76              	2.36400642e-02	6.75128822e-03	3.17690283e-02	1.08082473e-02	8.92728257e-03
77              	2.37307213e-02	6.73929306e-03	3.20856455e-02	1.07627177e-02	8.88010299e-03
78              	2.40106672e-02	6.72362029e-03	3.23515969e-02	1.07231829e-02	8.83072403e-03
79              	2.33701420e-02	6.70151627e-03	3.25743618e-02	1.06877301e-02	8.78292477e-03
80              	2.33515593e-02	6.67879260e-03	3.28599332e-02	1.06579652e-02	8.73703903e-03
81              	2.36562698e-02	6.65763500e-03	3.31992157e-02	1.06353520e-02	8.69377197e-03
82              	2.37949318e-02	6.63437511e-03	3.35592373e-02	1.06182773e-02	8.65476655e-03
83              	2.40373459e-02	6.61052472e-03	3.39200571e-02	1.06059539e-02	8.61845271e-03
84              	2.40943582e-02	6.58634328e-03	3.43031284e-02	1.06000819e-02	8.58812646e-03
85              	2.40983811e-02	6.55792448e-03	3.46963639e-02	1.05976774e-02	8.56153026e-03
86              	2.39844340e-02	6.52649888e-03	3.51078834e-02	1.05988574e-02	8.53952444e-03
87              	2.33099780e-02	6.49615641e-03	3.54404374e-02	1.06008441e-02	8.51666554e-03
88              	2.31227963e-02	6.46005414e-03	3.58223080e-02	1.06056250e-02	8.49560436e-03
89              	2.33337041e-02	6.42141491e-03	3.62545000e-02	1.06122816e-02	8.48530904e-03
90              	2.36996485e-02	6.38220040e-03	3.67206954e-02	1.06191934e-02	8.48196402e-03
91              	2.34742804e-02	6.33968144e-03	3.71891107e-02	1.06245137e-02	8.48007843e-03
92              	2.36353604e-02	6.29551540e-03	3.76970747e-02	1.06288093e-02	8.48817448e-03
93              	2.38863049e-02	6.25084497e-03	3.82062330e-02	1.06323720e-02	8.50159825e-03
94              	2.37140805e-02	6.20347506e-03	3.86935065e-02	1.06342790e-02	8.51761525e-03
95              	2.36980464e-02	6.15729495e-03	3.91710907e-02	1.06353511e-02	8.54203338e-03
96              	2.38798661e-02	6.11481627e-03	3.96935889e-02	1.06357261e-02	8.57403690e-03
97              	2.41449201e-02	6.07490593e-03	4.02553812e-02	1.06352842e-02	8.60565319e-03
98              	2.49240132e-02	6.03972814e-03	4.08205041e-02	1.06363424e-02	8.65035275e-03
99              	2.47218774e-02	6.00237767e-03	4.14966688e-02	1.06362431e-02	8.69302450e-03
100             	2.41960732e-02	5.97414910e-03	4.16154227e-02	1.06357209e-02	8.72138843e-03
101             	2.56904748e-02	5.94967042e-03	4.18804036e-02	1.06391668e-02	8.75390868e-03
102             	2.52212167e-02	5.92312175e-03	4.20107915e-02	1.06381144e-02	8.78335864e-03
103             	2.56921467e-02	5.89732165e-03	4.21161327e-02	1.06335402e-02	8.80476515e-03
104             	2.66110249e-02	5.87562328e-03	4.21818345e-02	1.06250362e-02	8.82495386e-03
105             	2.52642253e-02	5.85062084e-03	4.20336405e-02	1.06116662e-02	8.84525146e-03
